s1,s3,x,y,z,MINA,LIT,ALT,MIN,UNIDAD,TODOLIX,PRIMSEC,SEC,PRIM
0,-3.9347,17798.655,114150.946,3138.48,ESCN,AND,QSA,LIX,TODOLIX,0,,,
0,-3.9193,19213.348,113566.638,3060.069,ESCN,AND,QSA,LIX,TODOLIX,0,,,
0,-3.8962,18656.199,112906.778,3068.462,ESCN,AND,QSA,LIX,TODOLIX,0,,,
0,-2.5795,18594.988,113894.293,3087.932,ESCN,AND,QSA,LIX,TODOLIX,0,,,
0,-2.440086225,17989.647,114682.192,3169.691,ESCN,AND,SCC,LIX,TODOLIX,0,,,
0,-1.853242001,19950.888,114432.684,3009.213,ESCN,AND,QSA,LIX,TODOLIX,1,,,
13.96,0,18595.35,113894.51,3078.631,ESCN,AND,QSA,LIX,TODOLIX,0,,,
18.74909766,0,18876.957,113950.487,3061.248,ESCN,AND,QSA,LIX,TODOLIX,0,,,
20.335149,0,19950.888,114432.684,3009.213,ESCN,AND,QSA,LIX,TODOLIX,0,,,
21,0,19316.524,114202.915,3060.38,ESCN,AND,QSA,LIX,TODOLIX,0,,,
25.63,0,18659.395,112902.344,3057.254,ESCN,AND,QSA,LIX,TODOLIX,0,,,
27.89,0,18496.665,113804.126,3050.327,ESCN,AND,QSA,LIX,TODOLIX,0,,,
29.36,0,17802.452,113875.771,3147.613,ESCN,AND,QSA,LIX,TODOLIX,0,,,
42.06,0,18496.645,113804.192,3041.507,ESCN,AND,POT,LIX,TODOLIX,0,,,
44.90318485,0,19405.922,113367.987,3002.892,ESCN,AND,QSA,LIX,TODOLIX,0,,,
56.008233,0,17989.647,114682.192,3169.691,ESCN,AND,SCC,LIX,TODOLIX,1,,,
61.485156,0,17989.637,114682.244,3174.041,ESCN,AND,SCC,LIX,TODOLIX,1,,,
65.82617112,0,19203.721,113851.655,3038.865,ESCN,AND,QSA,LIX,TODOLIX,1,,,
29.8,3.3,19577.563,114104.612,3037.694,ESCN,AND,QSA,LIX,TODOLIX,0,,,
37.4,3.3,18957.856,112883.067,3100.464,ESCN,AND,QSA,LIX,TODOLIX,0,,,
50.3,3.4,19565.716,114093.229,3082.719,ESCN,AND,QSA,LIX,TODOLIX,0,,,
49.5,3.6,19357.617,115152.818,3167.23,ESCN,AND,QSA,LIX,TODOLIX,0,,,
30.7,4.8,18973.521,112900.636,3029.06,ESCN,AND,QSA,LIX,TODOLIX,0,,,
60.7,5.1,19567.741,114095.228,3074.96,ESCN,AND,QSA,LIX,TODOLIX,0,,,
35.49,5.28,19126.299,113544.113,2993.095,ESCN,AND,QSA,LIX,TODOLIX,0,,,
43.84,5.28,18862.79,113950.091,3099.683,ESCN,AND,QSA,LIX,TODOLIX,0,,,
43.5,5.4,19634.606,114586.565,3103.437,ESCN,AND,SCC,LIX,TODOLIX,0,,,
33,5.5,19552.817,114080.712,3130.703,ESCN,AND,QSA,LIX,TODOLIX,0,,,
