SigmaS3,SigmaS1,x,y,z,UNIDAD,SEC
0,16,93977.19142,21903.64958,3187.977624,SEC,0
0,17.3,93964.79905,21907.91662,3197.154847,SEC,0
0,33,93978.74047,21903.1162,3186.830471,SEC,0
0,35.7,93628.43434,21415.50839,3119.26182,SEC,0
0,43.2,94156.69872,22158.17364,3212.168269,SEC,0
0,43.3,93786.89459,21598.04589,3009.303098,SEC,0
0,46.3,93964.02452,21908.18331,3197.728424,SEC,0
0,48.2,93713.05052,21763.90239,3161.643761,SEC,0
0,51.7,93970.22071,21906.04979,3193.139812,SEC,0
0,52.2,93714.60841,21760.4033,3158.429823,SEC,0
0,52.9,93764.77252,21647.73286,3054.941018,SEC,0
0,54.3,94061.0899,21565.82934,3312.164621,SEC,0
0,57.7,94148.34645,22157.14811,3197.593061,SEC,0
0,58.7,94043.80044,21880.71426,3138.650051,SEC,0
0,60.3,93972.54428,21905.24972,3191.419083,SEC,0
0,68.2,93970.99523,21905.7831,3192.566236,SEC,0
0,72,93733.92627,21717.01469,3118.576991,SEC,0
0,72.8,94092.82778,21863.83279,3102.342662,SEC,0
0,74.7,94186.6488,22161.85105,3264.432902,SEC,0
4,67.9,94253.07107,22464.19526,3300.950343,SEC,0
5,48,94022.65595,21887.99489,3154.308687,SEC,0
5,58.5,93965.57357,21907.64993,3196.581271,SEC,0
5,77.5,93974.86785,21904.44965,3189.698353,SEC,0
5,85.9,94046.89854,21879.6475,3136.355745,SEC,0
6.9,116.5,94229.18208,21891.13775,3278.592602,SEC,0
10,76,94067.81067,21872.44687,3120.869181,SEC,0
10,80.2,93975.64238,21904.18296,3189.124777,SEC,0
10,88.8,93966.34809,21907.38324,3196.007694,SEC,0
10,125,94095.69351,21862.84604,3100.220429,SEC,0
11.8,85.4,94061.05971,21565.88759,3311.986307,SEC,0
14.8,136.1,94208.1321,21894.84943,3212.808023,SEC,0
15,90.8,93967.12262,21907.11655,3195.434118,SEC,1
15,118.9,93977.19142,21903.64958,3187.977624,SEC,0
15,124,94111.95851,21857.24555,3088.175324,SEC,0
15,143.2,94123.57636,21853.24521,3079.571678,SEC,0
18,153.4,94061.19998,21565.61369,3312.810726,SEC,0
20,119.2,93977.96595,21903.38289,3187.404048,SEC,0
20,125.6,93968.67166,21906.58317,3194.286965,SEC,0
21.7,196.4,93942.61491,21591.09907,3139.754305,SEC,0
24,170.3,94061.27149,21565.47574,3313.233048,SEC,0
25,44.5,93978.74047,21903.1162,3186.830471,SEC,1
25,159.4,93969.44619,21906.31648,3193.713389,SEC,0
29.5,224.8,93942.28865,21591.60147,3138.014551,SEC,0
30,192.1,93974.09333,21904.71634,3190.27193,SEC,0
36.5,202,94251.89826,22465.21476,3318.712495,SEC,0
0,23.6,94111.04873,21794.24128,3079.449296,SEC,0
0,24.6,94111.42026,21793.81388,3080.663749,SEC,0
0,31.7,94092.86323,22548.69178,3349.63423,SEC,0
0,34.1,94114.85,21789.86842,3091.874776,SEC,0
0,38.6,94125.51906,21777.59507,3126.7495,SEC,0
0,45.9,94102.07651,21804.56263,3050.121176,SEC,0
0,48.2,94127.73716,21775.04344,3133.999962,SEC,0
0,54.9,94093.02817,22547.75635,3346.089282,SEC,0
0,65.7,94092.71267,22549.54566,3352.870082,SEC,0
0,79.9,94153.9429,22236.3295,3220.279621,SEC,0
0,90,94122.34163,21781.25028,3116.363212,SEC,0
0,93.5,94126.9636,21775.93332,3131.471363,SEC,0
3,97.5,94096.75309,22526.63131,3266.03335,SEC,0
4.9,77.7,94249.9769,22466.88497,3347.811342,SEC,0
5,86.4,94235.62678,22587.59978,3326.061027,SEC,0
5,135.8,94266.70517,22618.67817,3190.792259,SEC,0
5,188.3,94258.90007,22610.87307,3224.763997,SEC,1
9.9,83.5,94236.50081,22588.47381,3322.256801,SEC,0
9.9,179.2,94261.3561,22613.3291,3214.074122,SEC,1
18.7,161.4,94260.44536,22457.78488,3189.266956,SEC,0
18.7,179.4,94265.63886,22617.61186,3195.433414,SEC,0
18.7,182.7,94238.26417,22590.23717,3314.581775,SEC,0
20.7,128.3,94096.58904,22527.56165,3269.558979,SEC,0
28.6,216.2,94241.61608,22593.58908,3299.992568,SEC,0
37.4,277.3,94247.96806,22468.63123,3378.235128,SEC,0
37.5,329.9,94257.72013,22609.69313,3229.899703,SEC,0
